Episodio,Turno,Dados,Puntaje de Tirada,Puntaje Total,Acción
95,0,"[4, 3]",0,0,Plantarse
96,0,"[2, 1, 1, 4, 6, 4]",0,0,Plantarse
97,0,"[3, 5, 1, 4, 4, 1]",0,0,Plantarse
98,0,"[1, 4, 1, 4, 3, 3]",0,0,Plantarse
99,0,"[1, 2, 1, 3, 3, 6]",0,0,Plantarse
100,0,"[4, 4, 4, 2, 5, 1]",0,0,Plantarse
101,0,"[2, 1, 3, 6, 3, 4]",0,0,Plantarse
102,0,"[6, 1, 3, 1, 1, 3]",0,0,Plantarse
103,0,"[5, 2, 2, 4, 1, 4]",0,0,Plantarse
104,0,"[3, 2, 1, 2, 5, 6]",0,0,Plantarse
105,0,"[4, 3, 2, 3, 1, 4]",0,0,Plantarse
106,0,"[1, 6, 3, 2, 1, 4]",0,0,Plantarse
107,0,"[5, 4, 2, 1, 1, 4]",0,0,Plantarse
108,0,"[5, 5, 2, 6, 3, 6]",0,0,Plantarse
109,0,"[4, 6, 5, 5, 6, 5]",0,0,Plantarse
110,0,"[6, 3, 4, 1, 2, 6]",0,0,Plantarse
111,0,"[2, 3, 4, 5, 3, 3]",0,0,Plantarse
112,0,"[1, 3, 2, 6, 4, 4]",0,0,Plantarse
113,0,"[4, 2, 2, 5, 4, 5]",0,0,Plantarse
114,0,"[4, 5, 2, 5, 6, 2]",0,0,Plantarse
115,0,"[1, 2, 1, 2, 1, 3]",0,0,Plantarse
116,0,"[5, 1, 4, 3, 4, 6]",0,0,Plantarse
117,0,"[3, 2, 6, 4, 1, 2]",0,0,Plantarse
118,0,"[2, 1, 6, 3, 5, 4]",0,0,Plantarse
119,0,"[6, 2, 5, 3, 5, 1]",0,0,Plantarse
120,0,"[3, 4, 6, 5, 4, 1]",0,0,Plantarse
121,0,"[5, 3, 6, 2, 2, 5]",0,0,Plantarse
122,0,"[2, 3, 3, 6, 1, 3]",0,0,Plantarse
123,0,"[5, 2, 4, 2, 3, 3]",0,0,Plantarse
124,0,"[5, 6, 1, 5, 4, 5]",0,0,Plantarse
125,0,"[2, 1, 4, 1, 2, 2]",0,0,Plantarse
126,0,"[6, 2, 2, 4, 4, 5]",0,0,Plantarse
127,0,"[1, 6, 6, 2, 1, 5]",0,0,Plantarse
128,0,"[6, 1, 3, 5, 3, 6]",0,0,Plantarse
129,0,"[1, 5, 4, 5, 5, 2]",0,0,Plantarse
130,0,"[3, 5, 5, 4, 1, 4]",0,0,Plantarse
131,0,"[3, 1, 6, 4, 6, 6]",0,0,Plantarse
132,0,"[5, 4, 3, 5, 5, 2]",0,0,Plantarse
133,0,"[5, 3, 6, 2, 3, 1]",0,0,Plantarse
134,0,"[2, 1, 6, 5, 4, 2]",0,0,Plantarse
135,0,"[5, 1, 3, 6, 4, 1]",0,0,Plantarse
136,0,"[5, 6, 2, 1, 6, 5]",0,0,Plantarse
137,0,"[4, 3, 1, 2, 2, 5]",0,0,Plantarse
138,0,"[3, 2, 3, 3, 6, 5]",0,0,Plantarse
139,0,"[5, 4, 4, 4, 4, 6]",0,0,Plantarse
140,0,"[3, 4, 1, 4, 3, 2]",0,0,Plantarse
141,0,"[5, 2, 1, 3, 4, 6]",0,0,Plantarse
142,0,"[6, 6, 6, 5, 3, 4]",0,0,Plantarse
143,0,"[5, 4, 6, 5, 3, 2]",0,0,Plantarse
144,0,"[6, 1, 1, 3, 4, 6]",0,0,Plantarse
145,0,"[3, 1, 2, 2, 6, 1]",0,0,Plantarse
146,0,"[4, 4, 2, 3, 4, 6]",0,0,Plantarse
147,0,"[6, 1, 3, 3, 3, 4]",0,0,Plantarse
148,0,"[5, 1, 5, 1, 1, 6]",0,0,Plantarse
149,0,"[5, 2, 4, 6, 4, 1]",0,0,Plantarse
150,0,"[1, 1, 3, 5, 2, 6]",0,0,Plantarse
151,0,"[6, 3, 1, 2, 4, 5]",0,0,Plantarse
