Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 0)",2.5e-323,2.5e-323
"(6, 50)",50.0,493.1100063583481
"(6, 1000)",1000.0,-46.199298023393794
"(3, 500)",500.0,-195.21799040000002
"(6, 500)",500.0,-14.387537948918634
"(3, 0)",0.0,1.0
"(6, 150)",150.0,517.7737463649827
"(4, 250)",250.00000000014325,366.52398383968784
"(4, 1250)",1250.0,-339.0829759999997
"(0, 1950)",0.0,1.0
"(0, 2100)",0.0,1.0
"(6, 1950)",1950.0,-764.0168886440915
"(6, 2100)",2100.0,-651.067012392733
"(4, 2300)",1380.0,-1125.3836383999999
"(1, 2400)",2399.9597573308547,1.0
"(6, 450)",450.0,261.32246666411663
"(1, 450)",450.0,-296.376222464
"(1, 0)",0.0,1.0
"(6, 400)",400.0,-11.286843203235321
"(3, 550)",550.0,327.407275178254
"(1, 700)",700.0,-501.17744
"(6, 700)",700.0,-22.89923359147781
"(0, 2050)",0.0,1.0
"(6, 1500)",1500.0,1497.9499952891808
"(6, 2050)",2050.0,-656.8914908683062
"(1, 2050)",2049.9999436500293,-1721.0839999999998
"(6, 300)",299.99999999978695,689.2000393526113
"(2, 300)",300.0,-292.66219006224657
"(6, 250)",250.0,515.4080703039059
"(3, 250)",250.0,92.96295276548366
"(6, 100)",100.0,478.3063591864319
"(6, 200)",200.0,433.86210473219916
"(3, 350)",350.0,294.84179177256914
"(2, 450)",450.0,424.6644050665944
"(1, 500)",500.0,-472.55239040000004
"(0, 600)",0.0,1.0
"(6, 600)",600.0,-26.174784882398512
"(4, 800)",800.0,609.3063999999999
"(4, 300)",300.0,571.7946028760712
"(6, 350)",350.0,56.78057955761608
"(6, 650)",650.0,-61.340234294432776
"(0, 1850)",0.0,1.0
"(6, 1850)",1850.0,-475.07386715565826
"(2, 1850)",1850.0,60.94
"(2, 0)",0.0,1.0
"(3, 600)",600.0,321.4279290789895
"(5, 350)",350.0,346.1718477156509
"(2, 350)",350.0,227.36172870760186
"(4, 200)",200.0,-51.495558374946995
"(2, 650)",650.0,-503.786111622504
"(1, 650)",650.0,-427.4936
"(0, 900)",0.0,1.0
"(6, 900)",900.0,1.0
"(2, 600)",600.0,-167.96679563494013
"(5, 150)",149.9999908883347,343.7786558500894
"(3, 200)",200.0,15.173715021758426
"(4, 150)",150.0,47.41265304644429
"(3, 750)",750.0,1.0
"(2, 550)",550.0,283.2684555858664
"(1, 550)",550.0,-379.01743999999997
"(4, 0)",0.0,1.0
"(5, 250)",249.98955945260215,469.291227209998
"(6, 3000)",3000.0,2970.181024
"(2, 700)",700.0,-371.08399999999995
"(0, 850)",0.0,1.0
"(4, 950)",950.0,-545.0840000000001
