Estado Dados,Q(Plantarse),Q(Tirar)
"(5, 50)",50.0,18.12578825278365
"(4, 150)",150.0,-31.627425868488274
"(6, 0)",2.5e-323,2.5e-323
"(1, 550)",550.0,408.904
"(3, 250)",250.0,-68.25701919379867
"(1, 1150)",1150.0,-895.096
"(3, 1000)",1000.0,-272.81008628086965
"(1, 0)",0.0,1.0
"(2, 300)",300.0,270.20534149957496
"(3, 600)",600.0,-174.00913104486403
"(1, 1100)",1100.0,213.30875750400003
"(2, 1050)",1050.0,-311.7914803609601
"(0, 1200)",1200.0,80.92000000000002
"(4, 1350)",1350.0,-1041.03072
"(2, 1450)",1450.0,-930.4023065599997
"(0, 1600)",0.0,4906.949602291824
"(2, 2000)",2000.0,-1476.23072
"(1, 2050)",2050.0,-1631.096
"(2, 250)",250.0,-95.84794884717962
"(3, 200)",200.0,-101.68394259960496
"(0, 1500)",1500.0,1440.904
"(2, 1100)",1100.0,944.8624
"(4, 100)",100.0,-21.444730855970818
"(0, 350)",350.1085184802816,1.0
"(0, 3000)",3000.0,1.0
"(2, 350)",350.0,-154.44159608786072
"(1, 400)",400.0,1.0
"(1, 700)",700.0,-346.3788247886216
"(1, 650)",650.0,-341.51072
"(0, 750)",720.7909632000001,1.0
"(5, 100)",100.0,-0.23262366485960229
"(1, 350)",350.0,-203.80394362880008
"(0, 1150)",1150.0,840.9200000000001
"(4, 200)",200.0,-28.332560116800323
"(1, 500)",500.0,-184.5142745655064
"(0, 800)",800.0,1.0
"(2, 500)",500.0,455.0658135040001
"(1, 800)",800.0,-322.241296896
"(0, 850)",850.0,40.92
"(6, 850)",0.0,-679.08
"(2, 550)",550.0,1.0
"(0, 450)",450.0,1.0
"(3, 500)",500.0,-120.5363608575999
"(2, 0)",0.0,1.0
"(1, 450)",450.0,-287.09600000000006
"(0, 500)",400.6624,1165.8760732221137
"(3, 750)",750.0,-439.71337548329086
"(1, 900)",900.0,1.0
"(2, 400)",400.0,-137.85998351679495
"(1, 300)",300.0,-160.74005305344014
"(0, 400)",0.0,1342.8326678519097
"(2, 900)",900.0,-639.096
"(2, 600)",600.0,-251.3590144000002
"(2, 200)",0.0,-143.09599999999998
"(4, 0)",0.0,1.0
"(3, 300)",300.0,-71.9962600453789
"(3, 0)",0.0,1.0
"(0, 600)",0.0,1413.1436236685392
"(1, 750)",750.0,-266.98409728
"(0, 1400)",0.0,4770.559894841107
"(4, 1550)",1550.0,-890.3596083620957
"(2, 1650)",1650.0,-1303.096
"(2, 650)",650.0,-321.5542254044252
"(0, 1250)",0.0,2760.7807402763087
"(5, 1300)",1299.9999999999973,-766.4432302254559
"(3, 1500)",1500.0,-1167.096
"(5, 0)",0.0,1.0
"(3, 150)",150.6020108717261,-111.09599999999999
"(2, 700)",700.0,470.58079999999995
"(3, 1900)",1900.0,-970.3819054090345
"(1, 2100)",2100.0,160.92000000000002
"(3, 400)",400.0,-107.19733784715845
"(1, 600)",600.0,-294.7907200000002
"(0, 700)",0.0,3493.5699759072177
"(2, 1000)",1000.0,-751.0960000000001
"(2, 450)",450.0,-287.09600000000006
"(2, 2550)",0.0,2788.4721246633753
"(1, 2650)",2649.9999891580806,-2103.096
"(2, 1750)",1750.0,-952.8487005029101
"(1, 1850)",1850.0,1.0
"(0, 2750)",0.0,2047.639288755076
"(4, 2850)",2280.0,-1832.8593689600002
"(3, 2900)",2899.992576,-1680.117468659093
"(1, 3050)",3049.96096,-2415.096
"(0, 550)",550.0,1.0
"(0, 650)",650.0,120.92000000000002
"(5, 1200)",1200.0,-731.926860288
"(3, 1350)",1350.0,-900.6503426121728
"(1, 1550)",1550.0,-1216.39072
"(0, 1650)",0.0,2483.728069644718
"(4, 1800)",1800.0,-1100.8188111078966
"(3, 1850)",1850.0,-1403.7143163690032
"(0, 2250)",0.0,3457.6691108863997
"(4, 2400)",2399.999999921357,-1865.1631999999997
"(1, 1200)",1200.0,-799.096
"(4, 500)",500.0,-257.98265406565986
"(4, 750)",750.0,-550.0896640000001
"(1, 950)",950.0,-614.985664
"(0, 1000)",0.0,2634.979333869828
"(5, 1050)",1050.0,1.0
"(4, 600)",600.0,-430.729664
"(3, 650)",650.0,-511.09599999999995
"(0, 900)",0.0,2163.68173572604
"(2, 1200)",1200.0,-746.7396586496
"(0, 1300)",0.0,2930.5760672790684
"(4, 1450)",1450.0,-1113.03072
"(3, 1550)",1550.0,-1062.2157150392559
"(1, 1750)",1750.0,-1361.67072
"(0, 1850)",0.0,2553.982846899149
"(4, 2000)",2000.0,-1575.096
"(0, 1100)",0.0,3394.979343556686
"(3, 1300)",1300.0,-842.9287464873801
"(2, 1350)",1350.0,-1063.75072
"(1, 1450)",1450.0,-990.8725721451442
"(4, 800)",800.0,-426.35662977315565
"(3, 850)",850.0,-647.75072
"(2, 950)",950.0,-743.096
"(0, 1550)",0.0,2899.066748193212
"(5, 1650)",1650.0,-1003.3336300374426
"(2, 2650)",2650.0,-1959.096
"(5, 950)",950.0,-564.9285815574458
"(2, 1150)",1150.0,-632.7122744197009
"(1, 1250)",1250.0,-559.7910881766306
"(5, 1400)",1400.0,-868.8697457002354
"(2, 1700)",1700.0,-1031.121090256887
"(0, 1900)",0.0,3363.0891615942624
"(5, 1950)",1949.9999920128,-1188.8794753592965
"(2, 1500)",1500.0,-962.6029183999999
"(1, 1800)",1800.0,-1263.096
"(2, 1600)",1600.0,-1115.6968452886822
"(0, 1750)",0.0,845.4121319655321
"(1, 2150)",2150.0,-1385.89597681664
"(0, 2200)",0.0,3877.836896333705
"(4, 2300)",2299.9999999998795,-1382.6474024771583
"(3, 2350)",2350.0,-1871.096
"(3, 700)",700.0,-512.3907200000001
"(2, 800)",800.0,-623.096
"(2, 1550)",1550.0,-1071.096
"(3, 900)",900.0,-546.093207489221
"(3, 1800)",1800.0,-1345.6707200000003
"(2, 1850)",1850.0,-1308.8141440000002
"(1, 1900)",1900.0,-1511.096
"(4, 650)",650.0,-347.4918217536591
"(0, 1350)",0.0,1663.609240948183
"(3, 1400)",1400.0,-879.2053580799998
"(0, 2400)",0.0,3799.7260523205364
"(2, 2700)",2700.0,-2002.9507200000003
"(1, 2750)",2749.9999977472,-2191.096
"(6, 900)",900.0,-719.7409843334244
"(1, 1600)",1600.0,-1103.096
"(0, 4900)",0.0,4607.447698114643
"(2, 5150)",5149.93408,-3978.310720000001
"(1, 5250)",4200.0,-4176.39072
"(0, 5350)",0.0,4041.4640000000004
"(5, 5400)",0.0,40.92
"(3, 5500)",0.0,874.4464
"(2, 5600)",4480.0,-4463.0960000000005
"(5, 500)",500.0,-333.93922076884485
