Estado Dados,Q(Plantarse),Q(Tirar)
"(1, 750)",600.72,-606.60384
"(2, 650)",520.5606553599999,-300.4301439999999
"(1, 0)",0.0,1.0
"(0, 700)",560.72,704.8624
"(3, 200)",200.70081916735683,-39.485344420450815
"(6, 0)",0.0,0.778688
"(2, 1050)",1042.31133696,-479.6188288000001
"(1, 1100)",1091.9015864320002,-906.12384
"(3, 250)",250.70081923126776,-57.5879121974109
"(3, 1000)",800.72,1149.99521757184
"(2, 1100)",1098.9473464320001,1.0
"(4, 100)",100.7009166934016,-9.962671404318769
"(5, 50)",50.6870130688,-24.876220961046144
"(2, 550)",440.72,1.0
"(4, 150)",150.70131248332802,355.68780757158834
"(1, 600)",480.72,1.0
"(3, 400)",400.6767550464,-197.97223680000002
"(2, 300)",300.7009167115656,156.81840945151998
"(0, 500)",400.72,882.9626137600001
"(2, 800)",794.31133696,589.5024000000001
"(1, 1150)",0.0,-735.096
"(3, 500)",500.66908028928003,1.0
"(0, 1500)",1440.864,1501.0140934758401
"(1, 350)",350.60394496,375.4173082624001
"(2, 700)",560.72,1.0
"(5, 100)",100.760832,325.6573306129804
"(4, 200)",200.835712,582.7078069602693
"(2, 0)",0.0,1.0
"(2, 400)",397.53345536,1.0
"(3, 0)",0.0,1.0
"(0, 400)",0.0,120.92000000000002
"(2, 250)",250.76177408,236.95993600000003
"(3, 600)",0.0,-447.09599999999995
"(1, 400)",400.58582528,176.17721600000004
"(3, 1800)",1440.7200000000003,240.92
"(1, 1900)",1520.7200000000003,1.0
"(2, 350)",350.70045265920004,296.45193463808
"(0, 3000)",2400.7200000000003,2998.020032
"(5, 3050)",0.0,40.92
"(3, 3200)",3072.70465536,1.0
"(1, 500)",499.9009726464,1.0
"(2, 600)",600.7030597631999,400.92
"(3, 300)",288.70465536,-88.00118097920006
"(4, 1600)",1536.864,1.0
"(1, 300)",300.67100159999995,1.0
"(2, 500)",480.672786432,-245.5107200000001
"(0, 650)",0.0,120.92000000000002
"(3, 900)",0.0,834.3024
"(2, 1000)",0.0,80.92000000000002
"(1, 1050)",0.0,40.92
"(0, 1150)",0.0,80.92000000000002
"(4, 1250)",0.0,80.92000000000002
"(2, 1400)",1120.72,1.0
"(2, 450)",447.1600896,-295.09600000000006
"(5, 600)",0.0,80.92000000000002
"(1, 850)",680.72,1.0
"(1, 3350)",2680.7200000000003,280.92
"(5, 0)",0.0,1.0
"(2, 1800)",1440.6094080000003,1.0
"(3, 150)",0.0,-111.09599999999999
"(4, 3150)",0.0,120.92000000000002
"(2, 3300)",2640.6094080000003,1.0
"(0, 750)",0.0,120.92000000000002
"(0, 2250)",1800.609408,1.0
"(4, 0)",0.0,1.0
"(0, 450)",0.0,128.904
"(3, 650)",0.0,160.92000000000002
"(1, 800)",768.68253696,1.0
"(2, 1550)",1240.6094080000003,1.0
"(3, 700)",0.0,621.5184
"(3, 3500)",0.0,400.92
"(1, 3700)",0.0,-2927.096
"(1, 700)",560.5606553599999,-344.07072000000016
"(2, 2200)",0.0,-1647.096
"(0, 1250)",0.0,200.92000000000002
"(0, 2750)",2200.56065536,1.0
"(1, 450)",0.0,-287.09600000000006
"(1, 550)",0.0,440.92
"(0, 600)",0.0,40.92
"(2, 900)",0.0,-671.0960000000001
"(3, 1750)",0.0,-1359.096
"(2, 2550)",0.0,840.9200000000001
"(1, 2650)",2120.56065536,1.0
"(1, 1850)",0.0,-1423.096
"(4, 3100)",0.0,1923.9184000000002
