Estado Dados,Q(Plantarse),Q(Tirar)
"(2, 250)",250.0,1.0
"(4, 100)",100.0,-44.452778496000036
"(6, 0)",2.5e-323,2.5e-323
"(1, 1100)",1100.0,-654.5078853427199
"(5, 100)",100.0,6.596141229024795
"(4, 150)",150.0,-17.768193925304104
"(3, 200)",200.0,-48.9918141763834
"(2, 300)",300.0,-109.89825512545087
"(2, 0)",0.0,1.0
"(1, 350)",350.0,-106.19600128000002
"(1, 500)",500.0,-187.93136959078402
"(1, 0)",0.0,1.0
"(2, 450)",450.0,-120.38888280348306
"(4, 200)",200.0,-100.06282014566006
"(2, 350)",350.0,-96.15971460300818
"(2, 4050)",4017.6775084430365,1.0
"(0, 3000)",3000.0,2133.3085661916857
"(3, 3200)",3199.95904,-1870.7855740443815
"(2, 3250)",3249.999999898651,1.0
"(1, 700)",700.0,-418.8874624000001
"(5, 500)",500.0,-270.07453599387395
"(0, 450)",0.0,989.4709488025137
"(2, 700)",700.0,1.0
"(3, 500)",500.0,-207.32563091210227
"(0, 1500)",1500.2188484841263,3435.9899879328186
"(2, 500)",500.0,1.0
"(3, 400)",400.0,-117.80317329408001
"(3, 250)",250.0,-87.32288092630768
"(5, 50)",50.0,11.90012910603238
"(3, 150)",0.0,180.91304907680836
"(2, 600)",600.0,-164.14244068624225
"(1, 450)",450.0,-222.35506090616434
"(2, 1050)",1050.0,-519.9728444294831
"(3, 1000)",1000.0,-401.1034751209081
"(1, 650)",650.0,400.92
"(2, 650)",650.0,-300.29766400000017
"(0, 750)",0.0,588.1007999999999
"(4, 850)",850.0,-497.116664055717
"(2, 950)",950.0,-593.04126208
"(1, 1000)",1000.0,-791.0960000000001
"(1, 300)",300.0,-223.096
"(1, 750)",750.0,-356.3032908800001
"(2, 550)",550.0,-431.096
"(0, 1200)",0.0,2804.9606480940697
"(5, 1250)",1250.0,1.0
"(0, 800)",800.0,92.10079999999999
"(3, 1050)",1050.0,1.0
"(3, 600)",600.0,-383.09600000000006
"(3, 0)",0.0,1.0
"(1, 550)",550.0,-347.63143731200006
"(4, 3200)",3194.8800000002375,-2506.6086528
"(1, 3450)",3449.998233978043,-2719.096
"(4, 0)",0.0,1.0
"(2, 1500)",1500.0,-1087.096
"(3, 300)",300.0,-82.60528481606366
"(2, 400)",400.0,-107.75903521886949
"(3, 800)",800.0,-466.83354154203994
"(0, 550)",0.0,1110.3129421192384
"(2, 900)",900.0,1.0
"(0, 600)",600.0,1.0
"(1, 600)",600.0,570.260928
"(3, 3600)",0.0,3640.3791034208957
"(2, 3650)",3649.95328,-2807.75072
"(0, 3800)",0.0,3824.973051392001
"(5, 3850)",0.0,40.92
"(4, 3950)",0.0,3099.1888
"(3, 4050)",4049.997928095744,80.92000000000002
"(1, 400)",400.0,-205.19610979504125
"(2, 1100)",1100.0,-58.39233279999996
"(1, 1150)",1150.0,-911.0960000000001
"(1, 1200)",1200.0,1.0
"(2, 3300)",3298.944303429441,-2623.096
"(0, 400)",0.0,973.0878199179595
"(0, 700)",0.0,1876.1555979846505
"(2, 1200)",1200.0,488.8464
"(1, 1300)",1300.0,-912.3907200000001
"(0, 1350)",0.0,2091.3789118550244
"(3, 1600)",1600.0,-1239.096
"(0, 650)",0.0,1362.965212709959
"(6, 650)",650.0,1.0
"(4, 700)",700.0,-376.761724701146
"(3, 750)",750.0,-414.49182207831154
"(2, 800)",800.0,1.0
"(5, 850)",0.0,80.92000000000002
"(4, 900)",900.0,1.0
"(3, 650)",650.0,-487.09600000000006
"(5, 0)",0.0,1.0
"(3, 1700)",1700.0,-1107.9032430889065
"(2, 1800)",1800.0,-1341.9984180135853
"(1, 1900)",1900.0,874.0481922395343
"(2, 200)",0.0,-143.75072
"(1, 250)",0.0,-191.096
"(0, 500)",0.0,2540.984864264965
"(3, 1750)",1750.0,-1286.9665868800002
"(2, 1850)",1850.0,973.2699876780812
"(1, 3750)",3749.7600851368525,-2879.0959999999995
"(4, 600)",600.0,-339.9626624000001
"(0, 850)",0.0,1804.5543636549337
"(4, 1050)",1050.0,-700.8494040776503
"(4, 1000)",1000.0,-775.096
"(0, 1250)",0.0,2543.650025906472
"(1, 1700)",1700.0,-1287.096
"(5, 450)",450.0,-310.9371170932401
"(2, 1750)",1750.0,-1350.281664
"(0, 1900)",0.0,2421.044382921137
"(4, 2100)",2100.0,-1266.8102620617037
"(2, 2250)",2250.0,-1723.3376640000001
"(1, 2300)",2300.0,-1831.096
"(1, 1800)",1800.0,-1431.096
"(2, 2550)",2550.0,-1871.096
"(1, 1850)",1850.0,-1471.096
"(1, 1600)",1600.0,-1215.096
"(3, 700)",700.0,-497.6707200000001
"(2, 750)",750.0,-551.7507200000001
"(1, 850)",850.0,-663.096
"(4, 1300)",1300.0,-715.7885236774596
"(3, 1350)",1350.0,-757.8656817268625
"(2, 1400)",1400.0,40.92
"(1, 800)",800.0,-333.89463808000005
"(5, 900)",900.0,-529.7662039843542
"(4, 950)",950.0,-572.4727116800002
"(5, 1550)",1550.0,-947.8102902163741
"(3, 2100)",2100.0,-1647.096
"(5, 1600)",1600.0,-954.4894062387793
"(4, 1650)",1650.0,-1295.096
"(0, 900)",0.0,1820.8969451890298
"(4, 1100)",1100.0,-628.269088867969
"(1, 1350)",1350.0,-1039.096
"(3, 2500)",2500.0,-1332.4307977585008
"(1, 2650)",2650.0,-2095.096
"(3, 2000)",2000.0,-1130.6989740636955
"(2, 2050)",2050.0,-1631.096
"(4, 1600)",1600.0,1.0
