Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 0)",9.159862978399517e-100,9.113974100402809e-100
"(0, 1500)",1500.3929180408973,6552.928637950072
"(3, 250)",250.0,18.464443739119133
"(2, 400)",400.0,-203.06009719401686
"(2, 1050)",1050.0,-294.57545162212364
"(1, 1100)",1100.0,-413.1132257968129
"(0, 1150)",1149.667712,40.92
"(5, 50)",50.0,40.8559573439253
"(3, 200)",200.0,76.76852937623562
"(4, 150)",150.0,-24.012038352864465
"(4, 200)",200.0,-50.44726194677912
"(0, 500)",500.0,1.0
"(2, 300)",300.0,283.3082400822972
"(2, 600)",600.0,-280.56722021819996
"(3, 500)",500.0,-224.75970283520007
"(0, 700)",700.0,1.0
"(1, 400)",400.0,-205.23469934967898
"(2, 350)",350.0,-187.2416033633341
"(1, 450)",450.0,449.66592280576
"(1, 300)",300.0,80.92000000000002
"(2, 650)",650.0,-319.43072000000006
"(3, 150)",150.48067590306084,-90.65952000000001
"(6, 1100)",1099.649152,1.0
"(0, 1100)",0.0,2277.833754676999
"(3, 300)",300.0,-83.68667155074434
"(5, 100)",100.0,17.845332494040633
"(1, 1150)",1150.0,1.0
"(3, 600)",600.0,-138.2801701904384
"(0, 450)",450.0,1.0
"(4, 1250)",1249.9999997957898,1.0
"(1, 500)",500.0,1.0
"(2, 0)",0.0,1.0
"(2, 250)",250.0,-123.35935481182293
"(0, 750)",0.0,88.90400000000001
"(1, 700)",700.0,-440.07072000000016
"(0, 2250)",2232.0288570951802,1.0
"(4, 100)",100.0,7.398280724325446
"(3, 0)",0.0,1.0
"(3, 1000)",1000.0,-68.26185467798041
"(4, 0)",0.0,1.0
"(2, 450)",450.0,1.0
"(1, 0)",0.0,1.0
"(0, 3400)",0.0,1039.5379886835785
"(0, 400)",400.0,104.90399999999997
"(1, 3850)",0.0,-3007.0959999999995
"(1, 350)",350.0,-182.4090096565289
"(0, 1200)",1200.0,800.9200000000001
"(1, 750)",750.0,-299.6943537152001
"(0, 800)",0.0,1849.6498920896643
"(4, 900)",900.0,-703.096
"(1, 800)",800.0,-340.5161321472001
"(0, 900)",900.0,1.0
"(3, 1750)",1750.0,200.92000000000002
"(2, 3550)",3549.9999999767347,-2272.5509830467277
"(0, 3000)",0.0,5664.484178478942
"(0, 3700)",0.0,988.39175424
"(4, 3850)",0.0,3020.99616
"(2, 4000)",3968.000000000004,-3175.0959999999995
"(2, 700)",700.0,-300.9911387136001
"(0, 1000)",0.0,2202.428083311485
"(3, 1250)",1200.0,-626.9859009606305
"(0, 1450)",0.0,160.92000000000002
"(0, 2950)",0.0,2848.6805101854716
"(3, 3950)",3160.6624,1.0
"(0, 850)",0.0,1968.2347893251585
"(4, 1000)",1000.0,-567.0911832103002
"(3, 1050)",1050.0,-822.2816640000001
"(2, 1100)",1100.0,-666.0161848320001
"(2, 200)",0.0,349.86131018707766
"(4, 550)",440.60940800000003,1.0
"(1, 1200)",1200.0,-442.15631001600013
