Estado Dados,Q(Plantarse),Q(Tirar)
"(2, 2550)",2550.0,-1246.462887326501
"(0, 1500)",1488.633514696704,3410.710794903624
"(1, 2650)",2650.0,1.0
"(6, 0)",6.936463846866398e-52,7.386049466570707e-52
"(4, 150)",150.0,-13.956693048668853
"(2, 300)",300.0,-121.79004983810603
"(3, 200)",200.0,-67.32541133641246
"(3, 1700)",1700.0,-1291.785664
"(0, 1950)",1949.9999999364766,1.0
"(1, 650)",650.0,-245.2392877695861
"(3, 500)",500.0,-137.97876536884382
"(0, 750)",744.3790908494859,120.92000000000002
"(1, 350)",350.0,346.9757934592001
"(2, 700)",700.0,1.0
"(1, 750)",750.0,1.0
"(3, 250)",250.0,-100.97056937138484
"(1, 0)",0.0,1.0
"(4, 100)",100.0,-5.771935403644022
"(5, 50)",50.0,6.290698617836227
"(4, 0)",0.0,1.0
"(4, 1600)",1600.0,-971.8462878130817
"(2, 1800)",1800.0,160.92000000000002
"(4, 1650)",1650.0,1.0
"(2, 350)",350.0,120.92000000000002
"(3, 0)",0.0,1.0
"(4, 200)",200.0,-47.655890561865476
"(0, 650)",650.0,1.0
"(2, 500)",500.0,-230.79366400000026
"(5, 0)",0.0,1.0
"(2, 400)",400.0,-212.06929049600012
"(1, 700)",700.0,560.92
"(5, 1550)",1550.0,-959.0412479261126
"(2, 1750)",1750.0,-1331.2781439999999
"(0, 1850)",0.0,2120.184
"(3, 2350)",2346.245360673009,1.0
"(2, 600)",600.0,-278.5104203292673
"(5, 100)",100.0,-15.898211205166092
"(3, 400)",400.0,-184.59014400000012
"(2, 450)",450.0,289.78079999999994
"(2, 0)",0.0,1.0
"(0, 700)",700.0,40.92
"(5, 750)",0.0,40.92
"(3, 850)",849.9978728862749,1.0
"(0, 1250)",1249.9999998011863,1.0
"(1, 1200)",1200.0,-417.3770623999999
"(1, 600)",600.0,-199.76253142115957
"(0, 450)",450.0,1.0
"(3, 600)",600.0,-383.09600000000006
"(1, 500)",500.0,-265.3855546777602
"(1, 400)",400.0,-228.98093029310428
"(0, 500)",500.0,80.92000000000002
"(0, 600)",600.0,1.0
"(2, 250)",250.0,168.28536673785982
"(1, 550)",550.0,-206.6050452479999
"(2, 2100)",2100.0,1.0
"(4, 650)",649.999999894052,1.0
"(1, 300)",300.0,-231.096
"(1, 1100)",1100.0,-703.096
"(3, 300)",300.0,1.0
"(3, 1750)",1750.0,1.0
"(1, 2250)",2250.0,-1679.096
"(1, 450)",450.0,103.30080000000004
"(2, 200)",200.378402707329,1.0
"(3, 1000)",1000.0,-462.6284477439999
"(2, 1050)",1050.0,-386.74149179789856
"(1, 1150)",1150.0,-903.096
"(4, 850)",680.609408,80.92000000000002
"(3, 150)",150.19028231661278,-111.09599999999999
"(0, 550)",0.0,1214.7789701593017
"(5, 650)",649.9996672,-363.8912033456568
"(0, 400)",0.0,985.4243479408218
"(2, 950)",948.484875264,1.0
"(5, 1600)",1600.0,-992.6152001792466
"(4, 1700)",1700.0,-1343.096
"(0, 3000)",3000.0,2400.92
"(1, 2050)",2050.0,-1415.7724492800003
"(0, 2150)",0.0,691.456421376
"(2, 2450)",2446.08,-1911.096
"(2, 550)",550.0,-168.16721496935634
"(1, 2600)",2600.0,-1903.096
"(2, 2150)",2150.0,-1615.096
"(1, 1800)",1800.0,-1423.096
"(1, 800)",800.0,-511.096
"(0, 800)",0.0,1609.2362434279335
"(4, 950)",949.9999999999999,-532.5973153469281
"(2, 1000)",999.99744,-702.7907200000002
"(1, 1050)",840.0,-831.0960000000001
"(2, 650)",650.0,-189.32119276371623
"(1, 1500)",1499.904,-1087.096
"(0, 900)",0.0,2048.441829779125
"(3, 1150)",1149.9999999996994,-879.096
"(1, 1300)",1299.9993344000013,-919.0960000000001
"(3, 3250)",0.0,200.92000000000002
"(0, 4250)",0.0,800.9200000000001
"(2, 4500)",4320.067991236313,1.0
"(2, 1700)",1699.9999986087082,-1343.096
"(2, 1100)",1100.0,-541.3231999999998
"(0, 1200)",0.0,2496.303027738892
"(0, 2700)",0.0,1620.39822567424
"(4, 2850)",2280.0,-2255.096
"(0, 350)",0.0,80.92000000000002
"(3, 550)",0.0,1076.1467914281577
"(1, 1900)",1900.0,-1189.5990144000002
"(0, 1600)",0.0,3345.0275201096833
"(4, 1750)",1749.9999997135383,1.0
"(2, 2200)",2200.0,-1647.096
"(3, 2500)",2500.0,-1247.7342916127573
"(2, 2600)",2600.0,-2063.096
"(0, 2100)",0.0,2258.118240053043
"(4, 2250)",0.0,2025.4451758743587
"(2, 2350)",2331.200802773147,-1863.096
"(1, 2100)",2100.0,-1583.096
"(1, 1850)",1850.0,-1431.096
"(1, 1950)",1950.0,-1487.096
"(3, 2000)",2000.0,-1438.3325626537244
"(2, 2050)",2050.0,-1631.096
"(3, 1050)",1050.0,-675.9172053266888
"(3, 1900)",1900.0,-1455.096
"(3, 1650)",1649.9999662891603,-1303.8832
"(3, 2200)",2182.4,-1599.096
"(0, 1300)",0.0,2527.0163511681135
"(3, 1550)",1547.52,-861.8393959313541
"(1, 1650)",1647.3603382272645,-1303.096
"(0, 850)",0.0,1742.2691527235452
"(2, 3100)",2976.0,-2415.096
"(5, 950)",949.9999999987548,-584.1680479478413
"(4, 1000)",1000.0,-748.9903488000001
"(2, 1200)",1199.9999999999875,-927.096
"(2, 1850)",1850.0,-1375.096
"(6, 1500)",1500.0,-1199.6920082414908
"(2, 2000)",2000.0,-1519.096
"(0, 1900)",0.0,1707.627817337324
"(3, 2100)",2100.0,-1107.4527423251152
"(3, 1800)",1800.0,-1142.7951766425429
"(2, 1900)",1900.0,-1496.39072
"(1, 2000)",2000.0,-1377.2205184
"(3, 2300)",2296.32,-1719.1147376407328
"(1, 2400)",2396.1612758393653,-1903.096
"(1, 2200)",2200.0,-1663.096
"(4, 500)",499.84,-263.59139625501155
"(5, 1400)",0.0,440.75295435299086
"(0, 10000)",0.0,10417.630654717996
"(2, 10500)",0.0,-8319.096000000001
