Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 0)",3.439725377831999e-250,3.720101215296168e-250
"(5, 50)",50.0,28.209868529555138
"(5, 1550)",1550.0,-1000.440986640803
"(0, 1500)",1499.9713543258774,2974.528492720417
"(2, 1750)",1750.0,1250.2750581104642
"(2, 600)",600.0,-166.1963815254187
"(3, 300)",300.0,-101.65315840000005
"(4, 200)",200.0,-38.311827256004904
"(1, 500)",500.0,-257.91651459418574
"(1, 0)",0.0,1.0
"(2, 1050)",1050.0,-568.3618363891715
"(1, 1100)",1100.0,-871.0960000000001
"(2, 400)",400.0,-111.14191675680945
"(4, 150)",150.0,12.966541954218656
"(1, 450)",450.0,-184.64404019199992
"(0, 500)",0.0,1050.9223616840352
"(3, 800)",800.0,-591.0960000000001
"(3, 0)",0.0,1.0
"(3, 1000)",1000.0,-288.1612347115747
"(5, 100)",100.0,9.51691204411975
"(2, 350)",350.0,30.58080000000001
"(2, 0)",0.0,1.0
"(2, 300)",300.0,-99.57261331595942
"(4, 100)",100.0,-18.73045259834754
"(1, 350)",350.0,173.41003346710656
"(3, 250)",250.0,-62.79506166527142
"(1, 400)",400.0,-19.816767999999968
"(4, 700)",700.0,-358.27663856441393
"(0, 550)",550.0,151.04403200000002
"(1, 800)",800.0,-308.608245248
"(2, 250)",250.0,-93.41565467546707
"(4, 0)",0.0,1.0
"(1, 300)",300.0,1.0
"(1, 550)",550.0,1.0
"(1, 600)",600.0,1.0
"(2, 500)",500.0,-309.5107200000001
"(3, 200)",200.0,-52.90324151620621
"(0, 450)",0.0,3055.255387324032
"(3, 950)",950.0,-452.0134393961871
"(2, 1000)",1000.0,-791.0960000000001
"(0, 3000)",0.0,5784.845716771416
"(5, 3050)",3050.0,1.0
"(2, 1100)",1100.0,-703.096
"(0, 600)",600.0,320.92
"(1, 1300)",1300.0,1.0
"(1, 650)",650.0,451.78767185920003
"(0, 700)",700.0,1.0
"(2, 650)",650.0,436.98079999999993
"(3, 150)",0.0,291.60380614343205
"(0, 1250)",0.0,2533.368490696194
"(3, 1650)",1650.0,-1014.4546217794391
"(1, 1800)",1800.0,-1385.03072
"(0, 1850)",0.0,1210.16864
"(3, 2100)",2100.0,-1639.096
"(2, 700)",700.0,154.44640000000004
"(3, 600)",600.0,-157.93048239194354
"(1, 750)",750.0,-591.0960000000001
"(0, 400)",400.0,176.08481807161752
"(4, 1650)",1650.0,-1267.7350528000002
"(3, 1700)",1700.0,-1009.6370414125304
"(2, 3500)",3500.0,-2162.137470459254
"(1, 3600)",3600.0,1.0
"(1, 1150)",1150.0,1.0
"(0, 350)",0.0,176.904
"(3, 750)",750.0,-423.91179467112124
"(2, 800)",800.0,-631.0960000000001
"(1, 700)",700.0,-543.096
"(2, 2600)",2600.0,-1462.1296458968359
"(1, 2650)",2650.0,-2111.096
"(3, 500)",500.0,-128.25210142458627
"(0, 1200)",0.0,2658.5481310005953
"(2, 1500)",1500.0,240.92
"(3, 700)",700.0,1.0
"(0, 2050)",0.0,2572.8234610759755
"(5, 2150)",2149.9997800829638,1.0
"(3, 1050)",1050.0,-725.5107199999999
"(0, 1650)",0.0,2257.851112120272
"(3, 1900)",1900.0,-1028.8645202486732
"(2, 2000)",2000.0,80.92000000000002
"(0, 1150)",0.0,2420.5965034775854
"(4, 1350)",1350.0,-795.3289295909526
"(1, 2150)",2150.0,1.0
"(2, 550)",550.0,-431.096
"(4, 1700)",1700.0,1.0
"(2, 450)",450.0,-221.33626639899558
"(1, 950)",950.0,-609.7376640000002
"(0, 1050)",0.0,809.6714982399999
"(2, 1350)",1350.0,-623.1006507743014
"(1, 1450)",1450.0,-1143.096
"(4, 500)",400.47453869670403,1.0
"(2, 3300)",3300.0,-1994.4529872698195
"(1, 3400)",3400.0,-2696.3907200000003
"(0, 3450)",3450.0,1.0
"(0, 650)",0.0,1836.4985756412607
"(3, 850)",850.0,-505.2678052906954
"(2, 950)",950.0,1.0
"(0, 900)",0.0,1873.3151526587835
"(2, 1550)",1550.0,1.0
"(3, 2000)",2000.0,400.92
"(3, 400)",400.0,-100.16230192365583
"(0, 1000)",0.0,2294.874612625182
"(0, 2500)",0.0,3945.522236591487
"(4, 2650)",2544.0,-1655.895532621671
"(0, 3050)",0.0,982.1752959999999
"(4, 3200)",3200.0,-2465.673538048
"(3, 3250)",3250.0,-2019.910877398203
"(1, 3350)",3350.0,1.0
"(3, 3400)",3400.0,-2655.096
"(0, 850)",0.0,1817.0430350493896
"(3, 1850)",1850.0,-1319.096
"(0, 750)",720.4568327088526,1.0
"(4, 3100)",3100.0,-1919.1891266472835
"(3, 3200)",3200.0,-2512.3907200000003
"(2, 3250)",3250.0,-2509.1786624
"(1, 3300)",3300.0,-2583.75072
"(0, 3350)",0.0,208.90400000000005
"(4, 3500)",0.0,3056.1839999999697
"(1, 4100)",4100.0,-3014.790720000001
"(0, 4150)",3984.0873151201936,1.0
"(1, 1200)",1200.0,-473.8989184000002
"(2, 1900)",1900.0,-1066.6923645318725
"(1, 2000)",2000.0,-1583.096
"(1, 2050)",2050.0,-1551.096
"(3, 650)",650.0,240.92
"(3, 1750)",1750.0,-1383.096
"(5, 0)",0.0,1.0
"(1, 1900)",1900.0,-1479.096
"(2, 200)",0.0,80.92000000000002
"(1, 250)",200.36951758865905,1.0
"(4, 1600)",1600.0,-1189.4419408403514
"(5, 3100)",3100.0,-2444.3240291328
"(3, 3300)",3300.0,-2032.501939064618
"(2, 3350)",3350.0,-2621.1629184000003
"(0, 800)",0.0,2286.5822439883127
"(2, 1400)",1400.0,-806.75372747707
"(2, 3650)",3650.0,-2866.9507200000003
"(0, 3800)",0.0,5414.565160610244
"(5, 3900)",0.0,3755.7083192098944
"(2, 4200)",4199.989251683058,-3311.0960000000005
"(2, 2050)",2050.0,-1551.096
"(2, 2100)",2100.0,-1477.1296639999998
"(0, 2200)",0.0,3261.442413698998
"(4, 2350)",0.0,2342.913156212019
"(2, 2500)",2499.999997952,-1975.096
"(2, 2550)",2550.0,-1404.894086309855
"(2, 1950)",1950.0,-1551.096
"(5, 1600)",1600.0,-965.0479843106698
"(3, 1800)",1800.0,-1407.096
"(1, 2600)",2600.0,-1903.096
"(2, 3450)",3450.0,-2620.87072
"(1, 3500)",3500.0,-2791.096
"(4, 1000)",1000.0,-753.1632
"(3, 3600)",3600.0,-2206.044086190297
"(1, 4200)",4199.999999312674,-3167.0960000000005
"(2, 1450)",1450.0,-745.7517395714431
"(1, 1500)",1500.0,-1191.096
"(0, 4500)",0.0,7174.476818373293
"(2, 4800)",4800.0,-3786.9507200000003
"(1, 4900)",4899.999899648158,-3903.0960000000005
"(2, 1800)",1800.0,-1354.31072
"(1, 1850)",1850.0,-1471.096
"(2, 3700)",3700.0,-2744.0707199999997
"(1, 3750)",3750.0,-2871.75072
"(0, 3850)",0.0,5940.848054195025
"(4, 4050)",0.0,-2552.195637760001
"(3, 4100)",0.0,-2493.568107290755
"(0, 1100)",0.0,2349.5166154447834
"(4, 1200)",1200.0,-713.1075328301074
"(3, 1250)",1250.0,-951.7507200000001
"(2, 1300)",1300.0,-1031.096
"(2, 2200)",2200.0,-1544.07072
"(1, 2250)",2250.0,-1541.6306171731967
"(0, 2350)",0.0,3189.9160740910056
"(5, 3950)",0.0,3620.1489742022104
"(0, 2300)",0.0,3155.3869837508523
"(6, 3800)",3040.0,-3039.5339473361655
"(0, 3400)",0.0,513.6544645595563
"(5, 3450)",0.0,510.8369280000001
"(1, 2300)",2300.0,-1560.1726548992
"(2, 3000)",2999.04,-2295.096
"(4, 2450)",2449.9999999197184,-1486.671055745429
"(3, 2500)",2500.0,-1991.096
"(2, 4050)",4050.0,-3071.0960000000005
"(2, 2150)",2150.0,-1484.8232378407833
"(5, 2350)",0.0,2267.6008030195194
"(4, 2400)",2399.9999999213605,-1911.096
"(2, 5000)",4999.999999998689,-3919.0960000000005
"(4, 3150)",3150.0,-1983.879575741033
"(0, 4250)",0.0,4134.09965312
"(4, 4400)",0.0,93.6464
"(1, 5400)",0.0,-4163.910720000001
"(0, 5450)",0.0,88.90400000000001
"(2, 5750)",5704.0,-4551.0960000000005
"(0, 3650)",0.0,5968.0393367573715
"(3, 4250)",4216.000000208663,-3303.0960000000005
"(0, 2150)",0.0,3501.3399929030165
"(4, 2300)",2299.9999905792,-1804.5935488
"(3, 2400)",2400.0,-1872.5232
"(3, 1100)",1100.0,-839.096
"(2, 1700)",1700.0,-1343.096
"(1, 2200)",2200.0,-1743.096
"(1, 1950)",1950.0,-1487.096
"(5, 550)",550.0,-312.55869914904815
"(1, 850)",849.9999999944295,-663.096
"(0, 1950)",0.0,4371.118536106156
"(5, 2050)",2033.6,-1254.4518869288356
"(2, 2250)",2249.999999999882,-1510.3050227902527
"(0, 2450)",0.0,2749.64670208
"(1, 2900)",2876.800528919267,-2247.096
"(2, 3400)",3400.0,-2703.096
"(3, 4000)",4000.0,-2322.369412639059
"(2, 1850)",1850.0,-941.8959838891674
"(0, 1300)",0.0,2477.589816045251
"(3, 1550)",1549.9999999999839,-854.0983479767863
"(2, 1650)",1649.9999999995675,-1303.096
"(0, 5300)",0.0,5061.812549120001
"(3, 5550)",0.0,5047.727552
"(2, 5650)",0.0,287.24640000000005
"(1, 5750)",4600.0,-4583.0960000000005
"(1, 3950)",3792.0004202525975,-3111.0959999999995
"(2, 3600)",3600.0,-2677.129664
"(1, 3700)",3700.0,-2832.3907200000003
"(0, 3750)",0.0,177.6368
"(4, 3850)",3080.0,-3040.3907200000003
"(2, 4000)",3993.6,-3175.0959999999995
"(0, 6000)",0.0,8505.686996517394
"(0, 7000)",0.0,800.9200000000001
"(3, 7600)",0.0,-5983.0960000000005
"(3, 2600)",2599.999999999999,-1875.086144
"(2, 2700)",2699.9999889408,-1548.0566296334391
"(1, 2800)",2799.8208,-2223.096
"(4, 6150)",6150.0,-4041.047605756059
