Estado Dados,Q(Plantarse),Q(Tirar)
"(3, 1000)",1000.0,-184.28320721780756
"(2, 1100)",1100.0,-540.0600767333726
"(1, 1150)",1150.0,1.0
"(6, 0)",2.5e-323,2.5e-323
"(1, 450)",450.0,-336.99802880000004
"(4, 150)",150.0,-33.60551030328219
"(0, 500)",0.0,1505.5606379743585
"(2, 800)",800.0,-591.0960000000001
"(2, 0)",0.0,1.0
"(3, 200)",200.0,-48.63230037712128
"(5, 50)",50.0,3.6051791440520446
"(2, 300)",300.0,-121.81916177463347
"(3, 250)",250.0,-88.54280995791419
"(3, 0)",0.0,1.0
"(2, 600)",600.0,538.4624
"(5, 100)",100.0,11.64247167475861
"(2, 400)",400.0,-271.096
"(1, 600)",600.0,1.0
"(2, 500)",500.0,-116.77840076062739
"(1, 550)",550.0,-270.15071999999986
"(2, 250)",250.0,-132.1768742392445
"(0, 1000)",0.0,2109.6171439186624
"(2, 1300)",1300.0,-899.45505024
"(1, 1400)",1400.0,1.0
"(1, 1100)",1100.0,1.0
"(3, 300)",300.0,240.20000000000002
"(0, 1500)",1500.1788854790475,3032.093622013639
"(1, 0)",0.0,1.0
"(2, 1050)",1050.0,-441.62225850343134
"(4, 200)",200.0,-32.786693357212584
"(4, 100)",100.0,-18.749195816823203
"(1, 700)",700.0,330.44640000000004
"(0, 600)",0.0,1382.643571944676
"(1, 1300)",1300.0,1.0
"(1, 350)",350.0,-148.81057867776008
"(2, 700)",700.0,-332.342389248
"(1, 750)",750.0,-322.8701203125306
"(2, 450)",450.0,-202.92586239999991
"(1, 500)",500.0,-391.096
"(3, 600)",600.0,-163.39960397199957
"(2, 550)",550.0,-363.10785280000005
"(1, 650)",650.0,-496.39072
"(0, 750)",0.0,56.903999999999996
"(3, 950)",950.0,1.0
"(1, 300)",300.0,-172.29145991168008
"(2, 350)",350.0,-134.89134526044745
"(0, 3000)",3000.0,1.0
"(0, 1200)",0.0,2710.0564643221387
"(4, 1350)",1350.0,120.92000000000002
"(5, 1600)",1600.0,1.0
"(1, 400)",400.0,-207.78752952973264
"(0, 650)",0.0,1289.048834374321
"(3, 850)",850.0,160.92000000000002
"(2, 650)",650.0,-349.35838881792006
"(0, 850)",0.0,2744.2479668045853
"(3, 500)",500.0,-138.03931174630088
"(0, 900)",0.0,2355.2808516705154
"(2, 1200)",1200.0,240.92
"(0, 700)",0.0,1473.6215417849094
"(2, 1000)",1000.0,-730.9507200000002
"(0, 1100)",1100.0,1.0
"(2, 1250)",1250.0,-903.096
"(2, 1750)",1750.0,1.0
"(0, 550)",0.0,1283.7339229810386
"(4, 0)",0.0,1.0
"(3, 400)",400.0,-96.54256226530379
"(0, 450)",0.0,1606.1880812142117
"(6, 450)",450.0,-359.23934464
"(1, 1200)",1200.0,-700.8707199999999
"(0, 1300)",0.0,2612.4090912071592
"(4, 1500)",1500.0,-887.3732865015943
"(2, 1650)",1650.0,-1193.03072
"(1, 1750)",1750.0,1.0
"(3, 150)",149.28025281102032,-68.80255394759706
"(5, 0)",0.0,1.0
"(5, 650)",650.0,-446.7121906104199
"(4, 700)",700.0,-527.694144
"(3, 750)",750.0,1.0
"(3, 1100)",1100.0,1.0
"(5, 950)",950.0,-570.5525008194189
"(4, 1050)",1050.0,1.0
"(1, 1550)",1550.0,1.0
"(4, 950)",950.0,-541.356602071746
"(2, 850)",850.0,-623.096
"(4, 750)",750.0,-575.096
"(0, 1250)",0.0,2887.262835221183
"(0, 2750)",0.0,4364.946418539252
"(1, 3500)",3500.0,-2680.71072
"(0, 3600)",0.0,6462.372740741647
"(5, 3650)",3650.0,-2790.0508291728474
"(3, 3800)",3800.0,-2985.03072
"(2, 3900)",3900.0,-2613.3404288000006
"(1, 3950)",3949.9999998705666,-2730.8285660160004
"(0, 4050)",0.0,3425.524056260313
"(1, 4750)",4749.99999922176,-3687.0960000000005
"(0, 800)",0.0,1745.3345461725692
"(6, 800)",800.0,-639.2658406400001
"(0, 1650)",0.0,3763.663354974508
"(4, 1750)",1750.0,-1337.5370368
"(2, 1900)",1900.0,-1495.096
"(1, 800)",800.0,-511.096
"(2, 1850)",1850.0,-1311.096
"(4, 1700)",1700.0,-1050.1553976774394
"(3, 1750)",1750.0,1.0
"(2, 200)",0.0,80.92000000000002
"(1, 250)",240.50451736960696,1.0
"(4, 1650)",1650.0,-980.0873881146356
"(2, 1800)",1800.0,-1415.096
"(3, 1200)",1200.0,-757.7394115256318
"(0, 2700)",0.0,4003.1162359154455
