Estado Dados,Q(Plantarse),Q(Tirar)
"(3, 1750)",1750.0,200.92000000000002
"(0, 1500)",1200.3682014389885,3156.5853039669964
"(6, 0)",2.5e-323,2.5e-323
"(4, 150)",150.0,-41.458773564132116
"(5, 50)",50.0,14.474376261657483
"(3, 250)",250.0,-141.4137174353122
"(0, 550)",0.0,1213.9890578050874
"(4, 650)",650.0,80.92000000000002
"(3, 3250)",3250.0,1.0
"(0, 3000)",0.0,5980.323911722089
"(2, 250)",250.0,-112.60693368964837
"(2, 0)",0.0,1.0
"(4, 1700)",1700.0,160.92000000000002
"(2, 1850)",1850.0,1.0
"(1, 1900)",1900.0,-58.29919999999993
"(1, 0)",0.0,1.0
"(3, 200)",200.0,-71.17924980496366
"(0, 400)",0.0,863.5531609878053
"(3, 600)",600.0,-310.5757980057599
"(2, 650)",650.0,-407.7507200000001
"(1, 700)",700.0,460.45523200000014
"(5, 100)",100.0,-16.171334066882707
"(2, 600)",600.0,1.0
"(1, 400)",400.0,397.26060800000005
"(4, 200)",200.0,159.7121408
"(1, 800)",800.0,-394.1350784000001
"(1, 550)",550.0,320.92
"(0, 500)",500.0,1.0
"(2, 300)",300.0,-138.3039023903122
"(1, 350)",350.0,330.72608
"(2, 500)",500.0,-207.7404708659201
"(3, 150)",150.46353590031484,1.0
"(3, 1000)",1000.0,697.5175289986416
"(0, 2000)",2000.0,1.0
"(2, 700)",700.0,1.0
"(3, 1700)",1700.0,1.0
"(1, 600)",600.0,400.92
"(4, 0)",0.0,1.0
"(1, 300)",300.0,-163.06371840000003
"(0, 4500)",4500.0,1200.92
"(4, 4700)",4692.48576,1.0
"(3, 0)",0.0,1.0
"(2, 350)",350.0,-177.551972843697
"(1, 450)",450.0,1.0
"(3, 300)",300.0,-148.2819730841601
"(1, 2600)",2600.0,-1903.096
"(5, 1600)",1600.0,-1046.2024995840002
"(3, 1800)",1800.0,240.92
"(3, 500)",500.0,-177.8122624
"(1, 750)",750.0,-274.2559892479999
"(0, 850)",850.0,80.92000000000002
"(5, 1350)",1350.0,-701.6381509834926
"(0, 1300)",0.0,2735.503023916356
"(2, 1550)",1550.0,160.92000000000002
"(3, 400)",400.0,1.0
"(4, 3100)",3100.0,1.0
"(2, 450)",450.0,-287.09600000000006
"(4, 100)",100.0,-49.57245957394551
"(2, 1050)",1050.0,-544.302696296942
"(1, 1100)",1100.0,-871.0960000000001
"(2, 3650)",3650.0,-2815.0959999999995
"(2, 2100)",2100.0,-1583.096
"(3, 2500)",2500.0,-1839.096
"(2, 550)",550.0,40.92
"(2, 1900)",1900.0,-1171.9650431999999
"(1, 2000)",2000.0,-1583.096
"(5, 950)",950.0,-441.0522906544852
"(3, 1100)",1100.0,-855.096
"(2, 2150)",2150.0,-1468.873973248
"(1, 2200)",2200.0,1.0
"(1, 1150)",1150.0,-903.096
"(4, 1600)",1600.0,-957.5250252931075
"(5, 0)",0.0,1.0
"(0, 450)",450.0,1.0
"(5, 1550)",1550.0,-946.1856110904644
"(2, 2550)",2550.0,-1723.9107200000003
"(1, 2650)",2650.0,-1833.4425063398573
"(0, 2700)",2700.0,1.0
"(4, 550)",550.0,-289.3609583180655
"(3, 650)",650.0,-371.723919093629
"(0, 700)",0.0,1548.4784994458369
"(4, 800)",800.0,-448.597859935408
"(2, 1000)",1000.0,-767.096
"(1, 500)",500.0,-245.5107200000001
"(0, 600)",0.0,1450.9757385417743
"(4, 700)",700.0,1.0
"(0, 1200)",1200.0,1.0
"(0, 800)",0.0,1975.3237529007174
"(2, 1400)",1400.0,-723.2733788704068
"(1, 1450)",1450.0,-1151.096
"(0, 2800)",0.0,3856.7657166579866
"(1, 3900)",3899.999999974509,1.0
"(3, 3600)",3600.0,1.0
"(3, 3500)",3500.0,-2551.6763724800003
"(1, 3650)",3650.0,-2895.096
"(1, 3700)",3700.0,1.0
"(3, 2000)",2000.0,-1430.793664
"(1, 2150)",2150.0,-1695.096
"(0, 10000)",10000.0,1.0
"(0, 1950)",0.0,1889.4119863816952
"(3, 2450)",2450.0,-1879.096
"(2, 400)",400.0,-173.89635839999994
"(5, 700)",700.0,-375.54846967454796
"(3, 850)",850.0,-490.9889385203667
"(1, 1000)",1000.0,1.0
"(3, 1650)",1650.0,-1311.096
"(2, 200)",0.0,-143.09599999999998
"(4, 1650)",1650.0,-1026.8252117775928
"(2, 1750)",1750.0,-1383.096
"(2, 1100)",1100.0,-863.096
"(5, 3050)",3050.0,-2014.652099317931
"(2, 1200)",1200.0,-728.1479328870482
"(1, 1300)",1300.0,-1007.5210623999999
"(0, 1350)",0.0,2101.064791583645
"(3, 1850)",1850.0,-1074.2203442699738
"(2, 1950)",1950.0,-1543.096
"(1, 650)",650.0,-429.0172288000001
"(0, 750)",0.0,80.92000000000002
"(4, 900)",900.0,-515.2958425530651
"(5, 900)",900.0,-506.44455707470047
"(4, 950)",950.0,-711.6941439999999
"(3, 1050)",1050.0,-744.3907199999999
"(1, 1200)",1200.0,-935.096
"(0, 6000)",0.0,8521.810711279846
"(4, 6150)",6150.0,-3897.8656852989407
"(2, 6300)",6299.99935488,-3940.221249351679
"(1, 6400)",6399.983616,-5103.0960000000005
"(0, 900)",0.0,1970.1800503245133
"(1, 1500)",1500.0,-441.9723404074257
"(0, 1550)",0.0,2441.819754630186
"(6, 3000)",3000.0,-2399.431798561012
"(4, 3150)",3150.0,-2480.3907200000003
"(3, 3200)",3200.0,-1972.8610941342426
"(1, 3300)",3300.0,-2623.096
"(2, 1800)",1800.0,-1391.096
"(5, 3100)",3100.0,-1898.8738268820666
"(0, 3450)",0.0,3653.3848164128435
"(3, 3700)",3699.9981056,-2263.410016448273
"(2, 3250)",3250.0,-2591.096
"(1, 3350)",3350.0,-2499.7256309760005
"(0, 3400)",0.0,3944.7912874716694
"(0, 4200)",4199.999999999956,1.0
"(2, 3500)",3500.0,-2038.6276036688596
"(1, 3550)",3550.0,-2743.75072
"(0, 3650)",0.0,6244.46149115303
"(2, 3950)",3949.99999676416,-3111.0959999999995
"(0, 2050)",0.0,3826.108490120722
"(4, 2200)",2200.0,-1335.6259167630678
"(3, 2250)",2250.0,-1791.096
"(1, 2050)",2050.0,-1575.096
"(1, 3750)",3750.0,-2879.0959999999995
"(3, 6200)",6200.0,-4880.242542080001
"(2, 6250)",6249.6,-4944.2323328
"(1, 6350)",6349.99999479808,-5063.0960000000005
"(0, 1000)",0.0,2040.8320378592546
"(5, 1050)",1050.0,-636.1441333918598
"(2, 1250)",1250.0,-887.0829183999998
"(4, 1550)",1550.0,-1177.67072
"(1, 1800)",1800.0,-1399.096
"(3, 1500)",1500.0,-1119.096
"(4, 3200)",3200.0,-2131.9973992703503
"(1, 4200)",4200.0,-3199.0960000000005
"(1, 1850)",1850.0,-1388.3821184
"(0, 650)",0.0,1415.3622384400826
"(3, 900)",900.0,-482.270518384639
