Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 1500)",900.0,-899.1228560000001
"(2, 1950)",1949.9869428441934,1945.539210461489
"(0, 1500)",1500.0,3200.3405195479368
"(6, 0)",2.5e-323,2.5e-323
"(3, 500)",500.0,1096.3751985409854
"(6, 200)",0.0,1.0
"(2, 300)",300.0,847.6995022175313
"(4, 200)",200.0,523.0241349304443
"(4, 300)",0.0,1.0
"(1, 350)",350.0,710.4571610507834
"(2, 350)",350.0,273.98622715467656
"(1, 0)",0.0,1.0
"(3, 200)",200.0,955.24511017287
"(4, 100)",100.0,-5.8224236847274256
"(2, 250)",250.0,-20.9741325516801
"(2, 0)",0.0,1.0
"(3, 0)",0.0,1.0
"(0, 700)",700.0,1510.1235335767938
"(6, 500)",500.0,-299.15148464
"(2, 600)",600.0,1320.9123747064732
"(6, 250)",0.0,1.0
"(3, 250)",250.0,149.7260756788669
"(4, 150)",150.0,444.33849832045684
"(6, 100)",0.0,1.0
"(1, 300)",300.0,80.8652272963019
"(6, 550)",550.0,-329.59889036762394
"(1, 550)",550.0,304.86887974213187
"(4, 1700)",1699.5543552,1346.022197398807
"(6, 1700)",1591.2,-1019.5999999999999
"(4, 0)",0.0,1.0
"(6, 700)",699.92659968,-419.59963474538796
"(1, 700)",700.0,683.8359152162618
"(6, 150)",0.0,1.0
"(6, 50)",0.0,1.0
"(5, 50)",50.00000000001979,154.06526031503242
"(5, 100)",100.00000000658494,586.4216656094321
"(1, 800)",800.0,-127.98770459952232
"(2, 700)",700.0,-56.18356733441453
"(0, 850)",850.0,1252.8576149413277
"(6, 850)",0.0,-509.0924
"(0, 550)",550.0,1249.71262655917
"(2, 800)",800.0,610.3735524085496
"(3, 350)",0.0,1.0
"(1, 450)",450.0,773.3051815457442
"(2, 450)",450.0,449.11685188697743
"(0, 500)",500.0,815.7542091170849
"(1, 500)",500.0,203.36112275479036
"(3, 1000)",1000.0,650.2005554178463
"(0, 400)",400.0,837.9075916992306
"(6, 450)",450.0,-269.5452827398343
"(5, 200)",0.0,1.0
"(6, 300)",299.9213568,-179.6
"(1, 400)",400.0,-69.81840632362548
"(6, 350)",350.0,-209.4109039335334
"(4, 700)",700.0,541.3569428291842
"(2, 400)",400.0,129.8600887692926
"(4, 250)",0.0,1.0
"(6, 400)",400.0,-239.498411205453
"(6, 750)",750.0,-449.5999066115292
"(1, 750)",750.0,160.13111105848975
"(3, 300)",300.0,538.7902509232257
"(5, 150)",0.0,1.0
"(0, 600)",600.0,1943.9257718946828
"(3, 1750)",1749.9953093671897,2525.694814833117
"(4, 1650)",1386.0,2198.540544159904
"(2, 1750)",1749.9999969213675,-301.78699960858853
"(4, 1750)",0.0,1774.2075265732801
"(1, 1800)",1800.0,1379.3027602969707
"(2, 1800)",1800.0,-340.78942344007373
"(3, 400)",400.0,612.1126423435144
